date,platform,product_id,sold_count
2026-08-03,lazada,2377056833,47700.0
2026-08-03,lazada,2330940580,12700.0
2026-08-03,lazada,2379809765,15600.0
2026-08-03,lazada,1247946026,4900.0
2026-08-03,lazada,4440634363,1000.0
2026-08-03,lazada,2925122494,4500.0
2026-08-03,lazada,4070018923,6700.0
2026-08-03,lazada,4097085186,6000.0
2026-08-03,lazada,1544014133,1200.0
2026-08-03,lazada,2978468168,1600.0
2026-08-03,lazada,2885724498,2100.0
2026-08-03,lazada,4070068426,4600.0
2026-08-03,lazada,3985015970,2400.0
2026-08-03,lazada,3965675404,868.0
2026-08-03,lazada,2519001737,329.0
2026-08-03,lazada,1812042209,6100.0
2026-08-03,lazada,4232169460,474.0
2026-08-03,lazada,4630003756,321.0
2026-08-03,lazada,4698187014,382.0
2026-08-03,lazada,2660814302,344.0
2026-08-03,lazada,274625250,1300.0
2026-08-03,lazada,3905448430,2200.0
2026-08-03,lazada,2885674818,619.0
2026-08-03,lazada,5000352900,409.0
2026-08-03,lazada,4862070785,2600.0
2026-08-03,lazada,4977740787,391.0
2026-08-03,lazada,4978774100,874.0
2026-08-03,lazada,5016262796,1300.0
2026-08-03,lazada,5022694894,29.0
2026-08-03,lazada,5021362991,862.0
2026-08-03,lazada,5021561552,222.0
2026-08-03,lazada,5016161043,126.0
2026-08-03,lazada,4752726551,219.0
2026-08-03,lazada,5014992439,78.0
2026-08-03,lazada,5015103092,44.0
2026-08-03,lazada,5026196264,193.0
2026-08-03,lazada,4967734121,384.0
2026-08-03,lazada,5021407811,92.0
2026-08-03,lazada,4691600605,80.0
2026-08-03,lazada,3942659362,5000.0
2026-08-03,lazada,5022564437,5600.0
2026-08-03,lazada,5017365875,2700.0
2026-08-03,lazada,4627509438,7400.0
2026-08-03,lazada,4780919056,150.0
2026-08-03,lazada,5076801430,823.0
2026-08-03,lazada,4171899998,3400.0
2026-08-03,lazada,5077003411,1400.0
2026-08-03,lazada,4173591662,1100.0
2026-08-03,lazada,5077791057,620.0
2026-08-03,lazada,5066136197,191.0
2026-08-03,lazada,5077703915,2600.0
2026-08-03,lazada,5109391566,2800.0
2026-08-03,lazada,5142751485,5700.0
2026-08-03,lazada,5040297169,4200.0
2026-08-03,lazada,4755053742,1000.0
2026-08-03,lazada,2894418616,822.0
2026-08-03,lazada,4671690119,556.0
2026-08-03,lazada,4969930852,1800.0
2026-08-03,lazada,4984708611,795.0
2026-08-03,lazada,5047444138,428.0
2026-08-03,lazada,4409911899,574.0
2026-08-03,lazada,5109459693,511.0
2026-08-03,lazada,4922038314,3800.0
2026-08-03,lazada,5109454528,137.0
2026-08-03,lazada,5111331480,14700.0
2026-08-03,lazada,5148080631,852.0
2026-08-03,lazada,5015141121,200.0
2026-08-03,lazada,4746024888,585.0
2026-08-03,lazada,3719251158,532.0
2026-08-03,lazada,5154759601,51.0
2026-08-03,lazada,5151714964,35.0
2026-08-03,lazada,3303144071,139.0
2026-08-03,lazada,5093831513,19.0
2026-08-03,lazada,3918486156,106.0
2026-08-03,lazada,4331764294,81.0
2026-08-03,lazada,4598812487,13700.0
2026-08-03,lazada,5182188737,2700.0
2026-08-03,lazada,5109516335,318.0
2026-08-03,lazada,5066684582,189.0
2026-08-03,lazada,5030626374,78.0
2026-08-03,lazada,4876718906,1400.0
2026-08-03,lazada,5145803734,1300.0
2026-08-03,lazada,5195053135,1400.0
2026-08-03,lazada,1081924146,2300.0
2026-08-03,lazada,4903970258,110.0
2026-08-03,lazada,5189365903,176.0
2026-08-03,lazada,5142628017,86.0
2026-08-03,lazada,3853207861,240.0
2026-08-03,lazada,5263606699,2200.0
2026-08-03,lazada,5015053723,1800.0
2026-08-03,lazada,5500876836,15.0
2026-08-03,lazada,5514263272,17.0
2026-08-03,lazada,5086992024,63.0
2026-08-03,lazada,5298671407,331.0
2026-08-03,lazada,5383164474,79.0
2026-08-03,lazada,5373426917,7900.0
2026-08-03,lazada,5403014692,3300.0
2026-08-03,lazada,5401469130,613.0
2026-08-03,lazada,5458348325,116.0
2026-08-03,lazada,5496494041,403.0
2026-08-03,lazada,5442777347,288.0
2026-08-03,lazada,5440974428,336.0
2026-08-03,lazada,3084639318,67.0
2026-08-03,lazada,4997888839,6.0
2026-08-03,lazada,5292170797,670.0
2026-08-03,lazada,5336975986,5200.0
2026-08-03,lazada,5010146240,289.0
2026-08-03,lazada,5150899137,2400.0
2026-08-03,lazada,5286958309,176.0
2026-08-03,lazada,5255125005,339.0
2026-08-03,lazada,5365849350,237.0
2026-08-03,lazada,5401105360,1200.0
2026-08-03,lazada,5364859617,1400.0
2026-08-03,lazada,5521994362,54.0
2026-08-03,lazada,5519842928,142.0
2026-08-03,lazada,5422985857,1400.0
2026-08-03,lazada,5530224257,235.0
2026-08-03,lazada,5509686735,700.0
2026-08-03,lazada,5508834751,3400.0
2026-08-03,lazada,5501556034,160.0
2026-08-03,lazada,5557613232,172.0
2026-08-03,lazada,5473658987,74.0
2026-08-03,lazada,5392054635,715.0
2026-08-03,lazada,5394554192,614.0
2026-08-03,lazada,5394523308,178.0
2026-08-03,lazada,5337143299,357.0
2026-08-03,lazada,5391948860,1200.0
2026-08-03,lazada,5391965877,212.0
2026-08-03,lazada,4452004490,139.0
2026-08-03,lazada,3343494493,2500.0
2026-08-03,lazada,5081103786,717.0
2026-08-03,lazada,5458423368,257.0
2026-08-03,lazada,5340042255,303.0
2026-08-03,lazada,5362150898,10700.0
2026-08-03,lazada,5131417977,2000.0
2026-08-03,lazada,2939142490,597.0
2026-08-03,lazada,5383036706,32.0
2026-08-03,lazada,5277145132,246.0
2026-08-03,lazada,5407759538,73.0
2026-08-03,lazada,5436637158,4600.0
2026-08-03,lazada,5060364221,32.0
2026-08-03,lazada,5381538871,1900.0
2026-08-03,lazada,5598602011,283.0
2026-08-03,lazada,5485176375,131.0
2026-08-03,lazada,5283291173,490.0
2026-08-03,lazada,5339370189,509.0
2026-08-03,lazada,5104423677,16.0
2026-08-03,lazada,5154503391,31.0
2026-08-03,lazada,5171051282,1200.0
2026-08-03,lazada,1611658393,44.0
2026-08-03,lazada,5172004379,520.0
2026-08-03,lazada,5509588872,221.0
2026-08-03,lazada,5043408331,100.0
2026-08-03,lazada,4256740855,164.0
2026-08-03,lazada,2799443650,904.0
2026-08-03,lazada,4256752886,108.0
2026-08-03,lazada,5293804321,224.0
2026-08-03,lazada,5269929977,23.0
2026-08-03,lazada,5713194741,1100.0
2026-08-03,lazada,5087453866,167.0
2026-08-03,lazada,5186351827,18.0
2026-08-03,lazada,5762222446,36.0
2026-08-03,lazada,5024974743,119.0
2026-08-03,lazada,5708248485,2900.0
2026-08-03,lazada,5735842954,70.0
2026-08-03,lazada,5719491809,864.0
2026-08-03,lazada,5630314617,697.0
2026-08-03,lazada,4186117487,157.0
2026-08-03,lazada,5747296607,161.0
2026-08-03,lazada,5484328001,397.0
2026-08-03,lazada,5592071154,92.0
2026-08-03,lazada,2405248700,330.0
2026-08-03,lazada,5757453840,33.0
2026-08-03,lazada,5463007557,508.0
2026-08-03,lazada,5724573466,437.0
2026-08-03,lazada,5075822758,15.0
2026-08-03,lazada,5054063209,43.0
2026-08-03,lazada,5769473073,53.0
2026-08-03,lazada,5746096054,200.0
2026-08-03,lazada,5748259235,36.0
2026-08-03,lazada,5650148438,24.0
2026-08-03,lazada,5508853285,303.0
2026-08-03,lazada,5679044340,620.0
2026-08-03,lazada,5713488229,381.0
2026-08-03,lazada,4949741732,33.0
2026-08-03,lazada,5741143532,326.0
2026-08-03,lazada,5769401348,136.0
2026-08-03,lazada,5739485919,205.0
2026-08-03,lazada,5782072992,120.0
2026-08-03,lazada,5784266067,188.0
2026-08-03,lazada,5776435095,184.0
2026-08-03,lazada,5614199283,79.0
2026-08-03,lazada,5475757355,141.0
2026-08-03,lazada,5855491795,276.0
2026-08-03,lazada,3811461734,138.0
2026-08-03,lazada,5670688558,215.0
2026-08-03,lazada,5856780055,263.0
2026-08-03,lazada,5741787960,73.0
2026-08-03,lazada,5742548722,6.0
2026-08-03,lazada,5501022917,366.0
2026-08-03,lazada,5741849508,579.0
2026-08-03,lazada,5783159535,179.0
2026-08-03,lazada,5098440293,1400.0
2026-08-03,lazada,4671731923,69.0
2026-08-03,lazada,5845817057,18.0
2026-08-03,lazada,5135145059,12.0
2026-08-03,lazada,5750721037,5.0
2026-08-03,lazada,5748097071,53.0
2026-08-03,lazada,5791936153,180.0
2026-08-03,lazada,4960897988,635.0
2026-08-03,lazada,5704996939,1400.0
2026-08-03,lazada,5824751922,41.0
2026-08-03,lazada,5781997710,164.0
2026-08-03,lazada,5815525279,184.0
2026-08-03,lazada,5630368424,26.0
2026-08-03,lazada,5057933855,201.0
2026-08-03,lazada,5570135496,182.0
2026-08-03,lazada,2899286045,526.0
2026-08-03,lazada,5054716681,73.0
2026-08-03,lazada,5784283013,101.0
2026-08-03,lazada,5614187903,1300.0
2026-08-03,lazada,5634125716,61.0
2026-08-03,lazada,5458137478,11.0
2026-08-03,lazada,5784343336,125.0
2026-08-03,lazada,5918076166,256.0
2026-08-03,lazada,5223383925,17.0
2026-08-03,lazada,5978397310,29.0
2026-08-03,lazada,5628441260,732.0
2026-08-03,lazada,5697101758,19.0
2026-08-03,lazada,5908442985,76.0
2026-08-03,lazada,5685710733,391.0
2026-08-03,lazada,5515602177,78.0
2026-08-03,lazada,5715156988,221.0
2026-08-03,lazada,5532244883,32.0
2026-08-03,lazada,5440944648,130.0
2026-08-03,lazada,5501075845,874.0
2026-08-03,lazada,5609029606,127.0
2026-08-03,lazada,5777986846,298.0
2026-08-03,lazada,5782065004,171.0
2026-08-03,lazada,5889384652,329.0
2026-08-03,lazada,5650043602,28.0
2026-08-03,lazada,5617423674,93.0
2026-08-03,lazada,5515409853,64.0
2026-08-03,lazada,5723325519,59.0
2026-08-03,lazada,5354657469,21.0
2026-08-03,lazada,5350165407,6.0
2026-08-03,lazada,5890187481,15.0
2026-08-03,lazada,4873622247,8500.0
2026-08-03,lazada,2491752759,8900.0
2026-08-03,lazada,4818800004,13000.0
2026-08-03,lazada,4121726137,10800.0
2026-08-03,lazada,3727371599,9100.0
2026-08-03,lazada,4233265956,4300.0
2026-08-03,lazada,4027540923,7600.0
